units_bin,inspection_year,mean_treated,n_treated,total_treated,mean_control,n_control,total_control,diff,ratio
20_49,2019,1.5638974134151689,9124,14269,1.3213051823416506,2605,3442,0.24259223107351824,1.183600453790388
20_49,2020,1.482573432704954,9124,13527,1.0579654510556622,2605,2756,0.4246079816492918,1.4013439013775055
20_49,2021,2.7852915387987727,9124,25413,2.018426103646833,2605,5258,0.7668654351519395,1.3799323808616968
20_49,2022,3.1100394563787814,9124,28376,2.327831094049904,2605,6064,0.7822083623288774,1.3360245355980749
20_49,2023,3.966462078035949,9124,36190,2.7001919385796547,2605,7034,1.2662701394562945,1.4689556032532907
20_49,2024,5.751863217886892,9124,52480,4.160076775431862,2605,10837,1.5917864424550299,1.3826339099931118
20_49,2025,9.185006576063131,9124,83804,6.001919385796545,2605,15635,3.183087190266586,1.530344875640835
3_5,2019,0.5779569892473119,1860,1075,0.6169217369665299,40185,24791,-0.038964747719217985,0.9368400473116545
3_5,2020,0.4521505376344086,1860,841,0.32845589150180415,40185,13199,0.12369464613260445,1.376594390093091
3_5,2021,0.8403225806451613,1860,1563,1.0456389199950231,40185,42019,-0.20531633934986182,0.803645086823242
3_5,2022,1.0295698924731183,1860,1915,1.4204802787109618,40185,57082,-0.3909103862378436,0.7248040735964447
3_5,2023,1.1376344086021506,1860,2116,1.3504790344655966,40185,54269,-0.212844625863446,0.8423932394125084
3_5,2024,1.5360215053763442,1860,2857,1.5391315167351,40185,61850,-0.003110011358755882,0.9979793725715181
3_5,2025,2.035483870967742,1860,3786,1.8231180788851562,40185,73262,0.21236579208258588,1.116484935639741
50_plus,2019,1.9995162850693324,6202,12401,1.8409490333919156,2276,4190,0.1585672516774168,1.0861334283574704
50_plus,2020,2.010802966784908,6202,12471,1.3036028119507908,2276,2967,0.7072001548341174,1.5424966472539439
50_plus,2021,3.9830699774266365,6202,24703,3.07688927943761,2276,7003,0.9061806979890266,1.2945119618196521
50_plus,2022,4.556755885198323,6202,28261,3.397188049209139,2276,7732,1.1595678359891846,1.3413316599471525
50_plus,2023,5.847307320219284,6202,36265,3.8150263620386644,2276,8683,2.0322809581806194,1.5327043027547034
50_plus,2024,9.249274427603998,6202,57364,5.76713532513181,2276,13126,3.482139102472188,1.603790080544469
50_plus,2025,15.366494679135762,6202,95303,8.741652021089632,2276,19896,6.624842658046131,1.757847903584288
6_19,2019,1.0169795604536427,15607,15872,0.9430655635619607,11241,10601,0.07391399689168199,1.0783763078067539
6_19,2020,0.8501313513167169,15607,13268,0.6984254069922605,11241,7851,0.1517059443244564,1.2172113769139237
6_19,2021,1.39642468123278,15607,21794,1.3374254959523173,11241,15034,0.058999185280462774,1.0441139977210112
6_19,2022,1.4845902479656565,15607,23170,1.5494173116270795,11241,17417,-0.06482706366142299,0.9581603592686424
6_19,2023,1.8752482860255013,15607,29267,1.7218219019660173,11241,19355,0.15342638405948406,1.0891069999076548
6_19,2024,2.5507144230153136,15607,39809,2.0932301396672894,11241,23530,0.45748428334802416,1.218554221381859
6_19,2025,3.5567373614403794,15607,55510,2.875100080064051,11241,32319,0.6816372813763283,1.237082975338077
