yearbuilt_bin,inspection_year,mean_treated,n_treated,total_treated,mean_control,n_control,total_control,diff,ratio
1940_1969,2019,1.6520076481835564,2615,4320,1.0349301397205588,3006,3111,0.6170775084629976,1.5962503987270238
1940_1969,2020,1.4707456978967495,2615,3846,0.6250831669993346,3006,1879,0.8456625308974148,2.3528800254803772
1940_1969,2021,2.6936902485659657,2615,7044,1.6783100465735197,3006,5045,1.015380201992446,1.6050015633675505
1940_1969,2022,3.203059273422562,2615,8376,2.1669993346640055,3006,6514,1.0360599387585565,1.4781081019202058
1940_1969,2023,4.51434034416826,2615,11805,2.0768463073852295,3006,6243,2.4374940367830304,2.1736516217475237
1940_1969,2024,6.932695984703633,2615,18129,2.8476380572188957,3006,8560,4.085057927484737,2.4345425385536354
1940_1969,2025,9.889101338432122,2615,25860,3.7465069860279443,3006,11262,6.142594352404178,2.639552355116938
1970_1999,2019,1.1635220125786163,477,555,0.7038694393261384,3799,2674,0.4596525732524779,1.6530366962551097
1970_1999,2020,0.9622641509433962,477,459,0.4359041853119242,3799,1656,0.526359965631472,2.2075129887886247
1970_1999,2021,2.230607966457023,477,1064,1.390629112924454,3799,5283,0.839978853532569,1.6040279508934752
1970_1999,2022,2.89727463312369,477,1382,1.6538562779678863,3799,6283,1.2434183551558036,1.7518297519078303
1970_1999,2023,3.3941299790356396,477,1619,1.7888918136351672,3799,6796,1.6052381654004724,1.8973366377805172
1970_1999,2024,5.377358490566038,477,2565,2.593314030007897,3799,9852,2.7840444605581407,2.0735469859582194
1970_1999,2025,9.882599580712789,477,4714,3.4964464332719136,3799,13283,6.386153147440876,2.8264696083059464
2000_plus,2019,0.41759156492785793,3604,1505,0.5458989679521999,5523,3015,-0.12830740302434201,0.7649612647086431
2000_plus,2020,0.49778024417314093,3604,1794,0.3001991671193192,5523,1658,0.19758107705382172,1.6581666396672239
2000_plus,2021,1.0557713651498335,3604,3805,1.0351258374072063,5523,5717,0.02064552774262718,1.0199449448526376
2000_plus,2022,1.1645394006659266,3604,4197,1.3514394350896253,5523,7464,-0.18690003442369862,0.8617029889975767
2000_plus,2023,1.8238068812430632,3604,6573,1.3771500995835597,5523,7606,0.4466567816595035,1.3243341316204889
2000_plus,2024,3.154550499445061,3604,11369,1.6489226869455007,5523,9107,1.5056278124995601,1.913097881677289
2000_plus,2025,6.208102108768036,3604,22374,2.158428390367554,5523,11921,4.049673718400482,2.876214071531403
prewar,2019,1.4268689887726558,26097,37237,0.7781895904863685,43979,34224,0.6486793982862873,1.8335750133599997
prewar,2020,1.3031382917576733,26097,34008,0.4906887378066805,43979,21580,0.8124495539509928,2.655733036756752
prewar,2021,2.358891826646741,26097,61560,1.2112371813820233,43979,53269,1.1476546452647178,1.94750612258719
prewar,2022,2.5967352569260833,26097,67767,1.5469655972168534,43979,68034,1.0497696597092299,1.6785992278030428
prewar,2023,3.2126681227727323,26097,83841,1.5620182359762613,43979,68696,1.650649886796471,2.0567417516510713
prewar,2024,4.615358087136452,26097,120447,1.8605243411628276,43979,81824,2.7548337459736247,2.4806760035463196
prewar,2025,7.106372379967046,26097,185455,2.379453830237159,43979,104646,4.726918549729887,2.986556112021202
