borough,inspection_year,mean_treated,n_treated,mean_control,n_control,diff
BRONX,2019,1.6695665445665446,6552,0.8256966305234931,17154,0.8438699140430516
BRONX,2020,1.6735347985347986,6552,0.45295557887373206,17154,1.2205792196610665
BRONX,2021,3.757936507936508,6552,1.2336481287163343,17154,2.524288379220174
BRONX,2022,4.273504273504273,6552,1.6385099685204616,17154,2.634994304983812
BRONX,2023,5.602564102564102,6552,1.7239127900198203,17154,3.8786513125442816
BRONX,2024,9.11935286935287,6552,2.4070187711320976,17154,6.712334098220772
BRONX,2025,15.070360195360195,6552,2.877229800629591,17154,12.193130394730604
BROOKLYN,2019,1.409579866044246,9854,0.6606884870223684,40146,0.7488913790218776
BROOKLYN,2020,1.403389486502943,9854,0.43678075026154534,40146,0.9666087362413978
BROOKLYN,2021,2.1001623706109194,9854,0.9797240073730882,40146,1.1204383632378312
BROOKLYN,2022,2.237467018469657,9854,1.2603248144273402,40146,0.9771422040423168
BROOKLYN,2023,2.7145321696772884,9854,1.2801524435809295,40146,1.4343797260963589
BROOKLYN,2024,3.3525471889587983,9854,1.3583171424301301,40146,1.9942300465286682
BROOKLYN,2025,5.570732697381774,9854,1.6658197578837244,40146,3.9049129394980495
MANHATTAN,2019,1.2698877040671888,10597,0.6380240763802407,9636,0.631863627686948
MANHATTAN,2020,0.9983957723884118,10597,0.4167704441677044,9636,0.5816253282207073
MANHATTAN,2021,1.8159856563178258,10597,0.9955375674553757,9636,0.8204480888624501
MANHATTAN,2022,2.0874775879966028,10597,1.103777501037775,9636,0.9837000869588277
MANHATTAN,2023,2.5581768425025952,10597,1.1687422166874222,9636,1.389434625815173
MANHATTAN,2024,3.3186750967254883,10597,1.400373599003736,9636,1.9183014977217523
MANHATTAN,2025,5.044163442483722,10597,1.9334786218347861,9636,3.1106848206489355
QUEENS,2019,0.905974025974026,5775,0.40570645188929827,35013,0.5002675740847278
QUEENS,2020,0.8351515151515152,5775,0.20101105303744324,35013,0.6341404621140719
QUEENS,2021,1.547012987012987,5775,0.6405906377631165,35013,0.9064223492498704
QUEENS,2022,1.6322077922077922,5775,0.9408791020478108,35013,0.6913286901599814
QUEENS,2023,2.2742857142857145,5775,0.8424299545882957,35013,1.4318557596974189
QUEENS,2024,4.1958441558441555,5775,1.0618912975180648,35013,3.133952858326091
QUEENS,2025,5.239480519480519,5775,1.1804758232656443,35013,4.059004696214875
STATEN ISLAND,2019,1.1734104046242775,173,0.5276766205389658,5492,0.6457337840853117
STATEN ISLAND,2020,0.9248554913294798,173,0.21249089584850692,5492,0.7123645954809729
STATEN ISLAND,2021,1.0057803468208093,173,0.5369628550619082,5492,0.4688174917589011
STATEN ISLAND,2022,2.092485549132948,173,0.8494173343044428,5492,1.2430682148285053
STATEN ISLAND,2023,2.167630057803468,173,0.7521849963583394,5492,1.4154450614451288
STATEN ISLAND,2024,4.184971098265896,173,1.172978878368536,5492,3.01199221989736
STATEN ISLAND,2025,9.820809248554914,173,1.7871449380917699,5492,8.033664310463145
