inspection_year,treated_rsbl,building_count,any_violation_buildings,any_violation_rate,mean_violation_count,positive_building_count,mean_positive_violation_count
2019,0,56307,11899,0.21132363649279842,0.7640968263270996,11899,3.6157660307588873
2019,1,32793,8226,0.2508462171804958,1.3300704418625926,8226,5.302334062727936
2020,0,56307,3767,0.06690109577850001,0.4754826220540963,3767,7.107247146270241
2020,1,32793,7267,0.2216021711950721,1.2230354038971731,7267,5.519058758772533
2021,0,56307,22162,0.39359227094322197,1.2310014740618396,22162,3.127605811749842
2021,1,32793,10834,0.33037538499069924,2.2405086451376817,10834,6.781705741185158
2022,0,56307,24357,0.4325749906761149,1.568099881009466,24357,3.6250359239643632
2022,1,32793,11308,0.34482968926295243,2.492056231512823,11308,7.226918995401486
2023,0,56307,26611,0.472605537499778,1.5866766121441385,26611,3.357295855097516
2023,1,32793,13195,0.4023724575366694,3.1664684536333976,13195,7.869496021220159
2024,0,56307,29755,0.5284422895909923,1.94190775569645,29755,3.674777348344816
2024,1,32793,14895,0.4542127893147928,4.65068764675388,14895,10.239006377979187
2025,0,56307,37614,0.6680164100378283,2.5061182446232264,37614,3.751581857818897
2025,1,32793,17849,0.5442929893574848,7.269935656999969,17849,13.356658636338171
