boro_block_lot,buildingid,housenumber,streetname,currentstatus
1019950010,28776,51,TIEMANN PLACE,VIOLATION WILL BE REINSPECTED
1004950038,25825,219,MULBERRY STREET,VIOLATION WILL BE REINSPECTED
1021370026,8153,3875,BROADWAY,VIOLATION WILL BE REINSPECTED
1016710031,804611,330,EAST 100 STREET,VIOLATION WILL BE REINSPECTED
1020580001,5609,1641,AMSTERDAM AVENUE,VIOLATION WILL BE REINSPECTED
1004790033,21425,147,ELIZABETH STREET,VIOLATION WILL BE REINSPECTED
1018700060,37303,260,WEST 99 STREET,VIOLATION WILL BE REINSPECTED
1016220017,805037,1772,MADISON AVENUE,VIOLATION WILL BE REINSPECTED
1018820020,9035,515,CATHEDRAL PARKWAY,VIOLATION WILL BE REINSPECTED
1021770116,26890,90,PINEHURST AVENUE,VIOLATION WILL BE REINSPECTED
1015580033,18687,334,EAST 96 STREET,VIOLATION WILL BE REINSPECTED
1007630005,4739,532,9 AVENUE,VIOLATION WILL BE REINSPECTED
1022200035,27001,34,POST AVENUE,VIOLATION WILL BE REINSPECTED
1022280007,28934,170,VERMILYEA AVENUE,VIOLATION WILL BE REINSPECTED
1022150481,23151,18,JACOBUS PLACE,VIOLATION WILL BE REINSPECTED
1021320007,6199,215,AUDUBON AVENUE,VIOLATION WILL BE REINSPECTED
1006930036,4968,195,10 AVENUE,VIOLATION WILL BE REINSPECTED
1004400030,11966,444,EAST 13 STREET,VIOLATION WILL BE REINSPECTED
1010640055,34178,446,WEST 55 STREET,VIOLATION WILL BE REINSPECTED
1019660059,805904,423,WEST 125 STREET,VIOLATION WILL BE REINSPECTED
1020740030,22511,115,HAMILTON PLACE,VIOLATION WILL BE REINSPECTED
1012410036,6011,700,AMSTERDAM AVENUE,VIOLATION WILL BE REINSPECTED
1020800025,42266,505,WEST 148 STREET,VIOLATION WILL BE REINSPECTED
1019060064,3437,2031,ADAM C POWELL BOULEVARD,VIOLATION WILL BE REINSPECTED
1022170035,25930,200,NAGLE AVENUE,VIOLATION WILL BE REINSPECTED
1021330066,27973,1356,ST NICHOLAS AVENUE,VIOLATION WILL BE REINSPECTED
1012140059,36092,158,WEST 84 STREET,VIOLATION WILL BE REINSPECTED
1020720059,41576,572,WEST 141 STREET,VIOLATION WILL BE REINSPECTED
1016750004,1145,2006,2 AVENUE,VIOLATION WILL BE REINSPECTED
1015350021,1034,1725,2 AVENUE,VIOLATION WILL BE REINSPECTED
1021770046,8801,5,CABRINI BOULEVARD,VIOLATION WILL BE REINSPECTED
1022280001,23140,573,ISHAM STREET,VIOLATION WILL BE REINSPECTED
1021340100,42732,605,WEST 156 STREET,VIOLATION WILL BE REINSPECTED
1019580001,28110,410,ST NICHOLAS AVENUE,VIOLATION WILL BE REINSPECTED
1021520045,43369,502,WEST 180 STREET,VIOLATION WILL BE REINSPECTED
1020320055,42102,228,WEST 147 STREET,VIOLATION WILL BE REINSPECTED
1022150494,21653,26,FT CHARLES PLACE,VIOLATION WILL BE REINSPECTED
1021360167,27396,900,RIVERSIDE DRIVE,VIOLATION WILL BE REINSPECTED
1010330048,32989,330,WEST 43 STREET,VIOLATION WILL BE REINSPECTED
1017260039,2661,2,WEST 129 STREET,VIOLATION WILL BE REINSPECTED
1017260025,904824,25,WEST 128 STREET,VIOLATION WILL BE REINSPECTED
1021390183,43156,705,WEST 170 STREET,VIOLATION WILL BE REINSPECTED
1008037503,31815,145,WEST 27 STREET,VIOLATION WILL BE REINSPECTED
1002790053,9078,24,CATHERINE STREET,VIOLATION WILL BE REINSPECTED
1016340028,19098,159,EAST 106 STREET,VIOLATION WILL BE REINSPECTED
1020020069,27313,590,RIVERSIDE DRIVE,VIOLATION WILL BE REINSPECTED
1004050010,11845,504,EAST 12 STREET,VIOLATION WILL BE REINSPECTED
1018360019,25351,8,MANHATTAN AVENUE,VIOLATION WILL BE REINSPECTED
1021290001,27943,1238,ST NICHOLAS AVENUE,VIOLATION WILL BE REINSPECTED
1022170039,25929,192,NAGLE AVENUE,VIOLATION WILL BE REINSPECTED
1008790054,12665,144,EAST 24 STREET,VIOLATION WILL BE REINSPECTED
1021190005,8149,3856,BROADWAY,VIOLATION WILL BE REINSPECTED
1020360038,42484,208,WEST 151 STREET,VIOLATION WILL BE REINSPECTED
1020760005,41875,561,WEST 144 STREET,VIOLATION WILL BE REINSPECTED
1020260029,3583,2400,ADAM C POWELL BOULEVARD,VIOLATION WILL BE REINSPECTED
1022380007,804219,19,COOPER STREET,VIOLATION WILL BE REINSPECTED
1021340199,27351,765,RIVERSIDE DRIVE,VIOLATION WILL BE REINSPECTED
1021650006,43445,620,WEST 182 STREET,VIOLATION WILL BE REINSPECTED
1020990029,8107,3675,BROADWAY,VIOLATION WILL BE REINSPECTED
1019220011,38346,239,WEST 116 STREET,VIOLATION WILL BE REINSPECTED
1021420227,43293,715,WEST 175 STREET,VIOLATION WILL BE REINSPECTED
1021180011,42876,560,WEST 160 STREET,VIOLATION WILL BE REINSPECTED
1017370001,23655,620,LENOX AVENUE,VIOLATION WILL BE REINSPECTED
1018810008,37810,249,WEST 109 STREET,VIOLATION WILL BE REINSPECTED
1018020039,20678,320,EAST 126 STREET,VIOLATION WILL BE REINSPECTED
1020100011,41493,127,WEST 141 STREET,VIOLATION WILL BE REINSPECTED
1018210050,37910,124,WEST 112 STREET,VIOLATION WILL BE REINSPECTED
1008960012,12036,225,EAST 14 STREET,VIOLATION WILL BE REINSPECTED
1018020040,20676,318,EAST 126 STREET,VIOLATION WILL BE REINSPECTED
1020020061,41095,622,WEST 137 STREET,VIOLATION WILL BE REINSPECTED
1021570067,28013,1520,ST NICHOLAS AVENUE,VIOLATION WILL BE REINSPECTED
1021420175,21801,350,FT WASHINGTON AVENUE,VIOLATION WILL BE REINSPECTED
1020570056,5606,1627,AMSTERDAM AVENUE,VIOLATION WILL BE REINSPECTED
1020710015,22524,51,HAMILTON PLACE,VIOLATION WILL BE REINSPECTED
1016750011,18948,315,EAST 103 STREET,VIOLATION WILL BE REINSPECTED
1021440021,43323,608,WEST 177 STREET,VIOLATION WILL BE REINSPECTED
1022380007,10056,15,COOPER STREET,VIOLATION WILL BE REINSPECTED
1020460025,7467,196,BRADHURST AVENUE,VIOLATION WILL BE REINSPECTED
1018220015,28125,45,ST NICHOLAS AVENUE,VIOLATION WILL BE REINSPECTED
1021280043,43188,504,WEST 172 STREET,VIOLATION WILL BE REINSPECTED
1016000021,2552,1428,5 AVENUE,VIOLATION WILL BE REINSPECTED
1022460135,27200,1781,RIVERSIDE DRIVE,VIOLATION WILL BE REINSPECTED
1013740046,14696,26,EAST 60 STREET,VIOLATION WILL BE REINSPECTED
1010650048,34268,426,WEST 56 STREET,VIOLATION WILL BE REINSPECTED
1019590058,28132,488,ST NICHOLAS AVENUE,VIOLATION WILL BE REINSPECTED
1017830029,20144,240,EAST 119 STREET,VIOLATION WILL BE REINSPECTED
1020100054,41598,148,WEST 142 STREET,VIOLATION WILL BE REINSPECTED
1020800031,5661,1786,AMSTERDAM AVENUE,VIOLATION WILL BE REINSPECTED
1018210046,28053,17,ST NICHOLAS AVENUE,VIOLATION WILL BE REINSPECTED
1021620074,43379,609,WEST 180 STREET,VIOLATION WILL BE REINSPECTED
1021650059,43506,612,WEST 184 STREET,VIOLATION WILL BE REINSPECTED
1017500028,977705,69,EAST 125 STREET,VIOLATION WILL BE REINSPECTED
1019870046,40686,516,WEST 134 STREET,VIOLATION WILL BE REINSPECTED
1019580015,4056,2445,FREDERICK DOUGLASS BOULEVARD,VIOLATION WILL BE REINSPECTED
1014147503,881603,250,EAST 60 STREET,VIOLATION WILL BE REINSPECTED
1016600019,19309,245,EAST 110 STREET,VIOLATION WILL BE REINSPECTED
1016710031,804613,338,EAST 100 STREET,VIOLATION WILL BE REINSPECTED
1021360150,42924,657,WEST 161 STREET,VIOLATION WILL BE REINSPECTED
1022480092,805264,132,SEAMAN AVENUE,VIOLATION WILL BE REINSPECTED
1020380061,4197,2866,FREDERICK DOUGLASS BOULEVARD,VIOLATION WILL BE REINSPECTED
