inspection_year,treated_rsbl,building_count,total_violation_count,represented_strata,mean_violation_count
2019,0,56307,43024,778,0.7640968263270996
2019,1,32793,43617,699,1.3300704418625926
2020,0,56307,26773,778,0.4754826220540963
2020,1,32793,40107,699,1.2230354038971731
2021,0,56307,69314,778,1.2310014740618396
2021,1,32793,73473,699,2.2405086451376817
2022,0,56307,88295,778,1.568099881009466
2022,1,32793,81722,699,2.492056231512823
2023,0,56307,89341,778,1.5866766121441385
2023,1,32793,103838,699,3.1664684536333976
2024,0,56307,109343,778,1.94190775569645
2024,1,32793,152510,699,4.65068764675388
2025,0,56307,141112,778,2.5061182446232264
2025,1,32793,238403,699,7.269935656999969
