inspection_year,inspection_month,year_month,borough,treated_rsbl_x,building_count_treated,total_violations_treated,buildings_with_violations_treated,mean_violation_count_treated,building_share_with_violations_treated,treated_rsbl_y,building_count_control,total_violations_control,buildings_with_violations_control,mean_violation_count_control,building_share_with_violations_control,diff,ratio
2025,1,2025-01,BRONX,1,6536,6107,1229,0.9343635250917993,0.18803549571603428,0,9453,2580,383,0.2729292288162488,0.04051623823124934,0.6614342962755505,3.423464497167744
2025,2,2025-02,BRONX,1,6536,5659,1114,0.8658200734394125,0.1704406364749082,0,9453,2112,329,0.22342113614725484,0.034803766000211574,0.6423989372921577,3.8752827434766886
2025,3,2025-03,BRONX,1,6536,6880,1185,1.0526315789473684,0.18130354957160344,0,9453,2524,361,0.26700518353961705,0.038188934729715435,0.7856263954077514,3.9423638335140545
2025,4,2025-04,BRONX,1,6536,7268,1125,1.1119951040391678,0.1721236230110159,0,9453,2300,339,0.24330900243309003,0.03586163122818153,0.8686861016060777,4.57029987760098
2025,5,2025-05,BRONX,1,6536,7350,1210,1.1245410036719705,0.18512851897184823,0,9453,2554,323,0.2701787792235269,0.0341690468634296,0.8543622244484437,4.162210692134353
2025,6,2025-06,BRONX,1,6536,7013,1593,1.0729804161566707,0.24372705018359853,0,9453,7159,5396,0.757325716703692,0.5708240770125886,0.31565469945297875,1.4168017703490723
2025,7,2025-07,BRONX,1,6536,8358,1298,1.2787637698898409,0.19859241126070992,0,9453,2153,329,0.22775838358193165,0.034803766000211574,1.0510053863079092,5.614562896780616
2025,8,2025-08,BRONX,1,6536,8698,1406,1.3307833537331701,0.21511627906976744,0,9453,2674,435,0.2828731619591664,0.04601713741669311,1.0479101917740037,4.7045232022586605
2025,9,2025-09,BRONX,1,6536,8466,1228,1.2952876376988984,0.18788249694002448,0,9453,2206,330,0.23336506929017242,0.03490955252300857,1.061922568408726,5.550477805606386
2025,10,2025-10,BRONX,1,6536,9496,1492,1.452876376988984,0.22827417380660955,0,9453,3230,422,0.341690468634296,0.044641912620332166,1.1111859083546882,4.252024889064046
2025,11,2025-11,BRONX,1,6536,9805,1708,1.5001529987760098,0.2613219094247246,0,9453,7471,4441,0.7903311118163546,0.4697979477414577,0.7098218869596552,1.8981322844906465
2025,12,2025-12,BRONX,1,6536,12706,1740,1.944002447980416,0.26621787025703797,0,9453,3532,461,0.37363799851898866,0.048767587009415,1.5703644494614275,5.202903493986091
2025,1,2025-01,BROOKLYN,1,9807,3474,778,0.35423676965432854,0.07933109003772815,0,25188,2660,453,0.10560584405272352,0.01798475464506908,0.24863092560160502,3.354329230847078
2025,2,2025-02,BROOKLYN,1,9807,2565,638,0.2615478739675742,0.06505557255021924,0,25188,2286,371,0.09075750357313006,0.014729236144195648,0.1707903703944441,2.8818319551597806
2025,3,2025-03,BROOKLYN,1,9807,3094,682,0.31548893647394716,0.06954216376057917,0,25188,2079,355,0.08253930443068128,0.014094013022074003,0.23294963204326588,3.8222873169339975
2025,4,2025-04,BROOKLYN,1,9807,3705,788,0.3777913735087183,0.0803507698582645,0,25188,1986,391,0.07884707003334922,0.015523265046847706,0.29894430347536904,4.7914446706634415
2025,5,2025-05,BROOKLYN,1,9807,3458,764,0.3526052819414704,0.07790353828897727,0,25188,2511,446,0.0996903287279657,0.017706844529140862,0.2529149532135047,3.5370059106100187
2025,6,2025-06,BROOKLYN,1,9807,4899,2092,0.4995411440807586,0.21331701845620477,0,25188,15175,13463,0.6024694298872479,0.5345005558202318,-0.10292828580648933,0.8291560024452156
2025,7,2025-07,BROOKLYN,1,9807,3869,787,0.39451412256551444,0.08024880187621088,0,25188,2429,365,0.09643481022709227,0.014491027473400031,0.29807931233842216,4.090992885623787
2025,8,2025-08,BROOKLYN,1,9807,3959,679,0.4036912409503416,0.06923625981441828,0,25188,1893,317,0.07515483563601714,0.012585358107035096,0.32853640531432443,5.371460632359855
2025,9,2025-09,BROOKLYN,1,9807,4556,845,0.4645661262363618,0.0861629448353217,0,25188,2556,457,0.10147689375893283,0.018143560425599493,0.36308923247742897,4.57804835197241
2025,10,2025-10,BROOKLYN,1,9807,5586,950,0.569593147751606,0.0968695829509534,0,25188,2712,428,0.10767031919961886,0.01699221851675401,0.4619228285519871,5.290159367834606
2025,11,2025-11,BROOKLYN,1,9807,6496,1877,0.662384011420414,0.19139390231467318,0,25188,14337,11328,0.5691996188661267,0.4497379704621248,0.09318439255428734,1.1637112701162997
2025,12,2025-12,BROOKLYN,1,9807,8777,1190,0.8949729784847558,0.12134189864382584,0,25188,3926,599,0.1558678735905987,0.023781165634429093,0.739105104894157,5.741869429973008
2025,1,2025-01,MANHATTAN,1,10525,2751,764,0.26137767220902614,0.07258907363420428,0,7835,780,186,0.09955328653477984,0.02373962986598596,0.16182438567424628,2.625505207381692
2025,2,2025-02,MANHATTAN,1,10525,2561,613,0.24332541567695962,0.05824228028503563,0,7835,692,140,0.08832163369495852,0.017868538608806637,0.1550037819820011,2.754992242527426
2025,3,2025-03,MANHATTAN,1,10525,2816,677,0.26755344418052257,0.0643230403800475,0,7835,586,131,0.07479259731971921,0.01671984684109764,0.19276084686080336,3.5772717323453826
2025,4,2025-04,MANHATTAN,1,10525,3425,688,0.3254156769596199,0.06536817102137767,0,7835,952,164,0.12150606253988513,0.020931716656030632,0.2039096144197348,2.6781846943052754
2025,5,2025-05,MANHATTAN,1,10525,3858,795,0.36655581947743465,0.07553444180522566,0,7835,721,151,0.09202297383535418,0.0192724952137843,0.27453284564208047,3.983307691547435
2025,6,2025-06,MANHATTAN,1,10525,4940,1567,0.4693586698337292,0.1488836104513064,0,7835,3466,2714,0.4423739629865986,0.3463943841735801,0.026984706847130613,1.0609997628814969
2025,7,2025-07,MANHATTAN,1,10525,3726,668,0.35401425178147267,0.06346793349168646,0,7835,691,132,0.08819400127632418,0.01684747925973197,0.26582025050514846,4.014040032862284
2025,8,2025-08,MANHATTAN,1,10525,6284,1084,0.5970546318289787,0.10299287410926365,0,7835,1534,225,0.195788130185067,0.02871729419272495,0.40126650164391164,3.049493507418545
2025,9,2025-09,MANHATTAN,1,10525,5076,1012,0.4822802850356295,0.0961520190023753,0,7835,1131,233,0.14435226547543076,0.029738353541799618,0.3379280195601987,3.340995608535948
2025,10,2025-10,MANHATTAN,1,10525,4778,908,0.4539667458432304,0.086270783847981,0,7835,1430,189,0.18251435864709636,0.02412252712188896,0.271452387196134,2.4872933242529442
2025,11,2025-11,MANHATTAN,1,10525,6123,1527,0.5817577197149644,0.145083135391924,0,7835,3362,2323,0.42910019144862793,0.29649010848755586,0.15265752826633644,1.3557619672714891
2025,12,2025-12,MANHATTAN,1,10525,6399,1084,0.607980997624703,0.10299287410926365,0,7835,1364,231,0.17409061901723039,0.029483088704530952,0.43389037860747265,3.4923248653882317
2025,1,2025-01,QUEENS,1,5757,1976,377,0.3432343234323432,0.06548549591801285,0,12978,878,174,0.06765295114809677,0.013407304669440592,0.27558137228424645,5.073456776201539
2025,2,2025-02,QUEENS,1,5757,1484,311,0.2577731457356262,0.05402119159284349,0,12978,631,124,0.04862074279550008,0.009554630913854214,0.20915240294012613,5.301711387253498
2025,3,2025-03,QUEENS,1,5757,1746,321,0.30328295987493487,0.055758207399687336,0,12978,738,120,0.056865464632454926,0.009246417013407305,0.24641749524247994,5.3333418065811715
2025,4,2025-04,QUEENS,1,5757,2319,393,0.40281396560708704,0.068264721208963,0,12978,895,165,0.06896286022499615,0.012713823393435044,0.3338511053820909,5.841027537037738
2025,5,2025-05,QUEENS,1,5757,2303,367,0.4000347403161369,0.06374848011116901,0,12978,1005,163,0.07743874248728617,0.01255971644321159,0.32259599782885073,5.1658217510674875
2025,6,2025-06,QUEENS,1,5757,3286,1370,0.5707833941288866,0.2379711655376064,0,12978,7766,6743,0.5983972877176761,0.5195715826783788,-0.027613893588789518,0.9538535782905858
2025,7,2025-07,QUEENS,1,5757,1617,275,0.2808754559666493,0.047767934688205664,0,12978,860,135,0.06626598859608568,0.010402219140083218,0.21460946737056363,4.23860659015718
2025,8,2025-08,QUEENS,1,5757,2133,340,0.3705054715997916,0.059058537432690635,0,12978,1072,148,0.08260132531977192,0.011403914316535676,0.28790414628001965,4.485466427632551
2025,9,2025-09,QUEENS,1,5757,2809,429,0.4879277401424353,0.07451797811360084,0,12978,1137,191,0.08760980120203421,0.01471721374633996,0.4003179389404011,5.569328242364578
2025,10,2025-10,QUEENS,1,5757,2562,391,0.4450234497133924,0.06791731804759424,0,12978,1097,183,0.0845276621975651,0.01410078594544614,0.36049578751582734,5.264826189954793
2025,11,2025-11,QUEENS,1,5757,3947,1141,0.6856001389612646,0.19819350356088242,0,12978,7198,6177,0.5546309138542148,0.475959315765141,0.13096922510704978,1.236137622039357
2025,12,2025-12,QUEENS,1,5757,3834,620,0.6659718603439291,0.10769498002431822,0,12978,953,181,0.07343196178147635,0.013946678995222684,0.5925398985624527,9.069236939709876
2025,1,2025-01,STATEN ISLAND,1,168,57,16,0.3392857142857143,0.09523809523809523,0,853,291,33,0.34114888628370454,0.038686987104337635,-0.0018631719979902428,0.9945385370643104
2025,2,2025-02,STATEN ISLAND,1,168,39,11,0.23214285714285715,0.06547619047619048,0,853,281,25,0.32942555685814773,0.029308323563892145,-0.09728269971529058,0.7046898830706659
2025,3,2025-03,STATEN ISLAND,1,168,63,17,0.375,0.10119047619047619,0,853,251,29,0.29425556858147717,0.03399765533411489,0.08074443141852283,1.2744023904382469
2025,4,2025-04,STATEN ISLAND,1,168,76,17,0.4523809523809524,0.10119047619047619,0,853,244,36,0.28604923798358733,0.04220398593200469,0.16633171439736505,1.5814793130366902
2025,5,2025-05,STATEN ISLAND,1,168,108,17,0.6428571428571429,0.10119047619047619,0,853,236,27,0.27667057444314186,0.031652989449003514,0.36618656841400105,2.3235472154963683
2025,6,2025-06,STATEN ISLAND,1,168,153,43,0.9107142857142857,0.25595238095238093,0,853,564,300,0.6611957796014069,0.3516998827667057,0.24951850611287885,1.3773746200607901
2025,7,2025-07,STATEN ISLAND,1,168,170,27,1.0119047619047619,0.16071428571428573,0,853,439,37,0.5146541617819461,0.04337631887456037,0.49725060012281574,1.9661839678923958
2025,8,2025-08,STATEN ISLAND,1,168,87,20,0.5178571428571429,0.11904761904761904,0,853,507,30,0.5943728018757327,0.035169988276670575,-0.07651565901858981,0.8712665539588618
2025,9,2025-09,STATEN ISLAND,1,168,187,30,1.1130952380952381,0.17857142857142858,0,853,326,32,0.3821805392731536,0.03751465416178194,0.7309146988220845,2.912485392930178
2025,10,2025-10,STATEN ISLAND,1,168,125,26,0.7440476190476191,0.15476190476190477,0,853,253,34,0.2966002344665885,0.03985932004689332,0.44744738458103056,2.508587427065688
2025,11,2025-11,STATEN ISLAND,1,168,254,48,1.5119047619047619,0.2857142857142857,0,853,731,380,0.8569753810082064,0.4454865181711606,0.6549293808965555,1.7642336004169108
2025,12,2025-12,STATEN ISLAND,1,168,294,36,1.75,0.21428571428571427,0,853,582,41,0.6822977725674091,0.04806565064478312,1.067702227432591,2.5648625429553267
