state_name,state_abbr,analysis_role,year,rent_burden_30_plus_pct,renter_share_pct,same_house_1y_pct,moved_last_year_pct,moved_different_state_pct,permits_units_total,permits_units_5plus,permits_units_multifamily_share,permits_per_1000_renter_households,permits_5plus_per_1000_renter_households,index_sa_mean,qcew_total_covered_emplvl,qcew_total_covered_avg_weekly_wage,baseline_window
California,CA,core_treated,2016.5,55.225,45.8,86.9,13.1,1.3,107205.0,50489.75,0.5068751021384363,18.049349139783295,8.498083261691656,249.193125,16847351.8125,1245.0625,2015-2018
Oregon,OR,core_treated,2016.5,50.95,37.975,82.4,17.6,3.475,19320.25,8024.0,0.4416078324339997,31.96106970772101,13.277514216187551,370.28499999999997,1858120.5,971.0,2015-2018
Arizona,AZ,donor,2016.5,48.0,36.35,82.225,17.775,3.875,36406.0,8886.75,0.26185635612785285,39.58775052653839,9.671880405701891,276.50687500000004,2715892.1666666665,953.8125,2015-2018
Colorado,CO,donor,2016.5,51.55,35.3,81.825,18.175,4.15,38536.25,14776.25,0.4016481356285951,51.40929829420767,19.72069036437971,390.805,2582688.2291666665,1080.3125,2015-2018
Florida,FL,donor,2016.5,56.525,35.25,84.325,15.675,2.85,123327.5,39698.5,0.34277186525828796,45.881575157766875,14.761828440949756,265.075625,8386065.6875,922.0,2015-2018
Georgia,GA,donor,2016.5,49.1,37.5,84.625,15.375,2.775,51944.75,13604.75,0.26955601754570946,37.26207381615664,9.756037631193196,209.925625,4297634.229166666,990.0625,2015-2018
Idaho,ID,donor,2016.5,46.225,30.525,82.45,17.55,4.4,13031.5,2225.5,0.21776181506590658,69.01594078313407,11.78973772773206,274.406875,697561.4375,782.0,2015-2018
North Carolina,NC,donor,2016.5,47.6,35.35,84.675,15.325,3.15,63511.25,17071.75,0.2791182501427205,45.81998477533081,12.313264982093486,212.796875,4290581.833333334,930.125,2015-2018
Nevada,NV,donor,2016.5,49.525000000000006,44.425,81.94999999999999,18.049999999999997,4.4,17306.0,5258.25,0.30915124679357375,36.0837203666708,10.976671018538164,217.07999999999998,1306364.3541666667,918.125,2015-2018
Tennessee,TN,donor,2016.5,47.45,34.375,85.375,14.625,2.9,35864.25,9985.75,0.2950661159054594,40.605588740394445,11.30963470297097,230.325625,2903943.1041666665,929.625,2015-2018
Texas,TX,donor,2016.5,47.875,38.525,84.25,15.75,1.95,177321.5,60088.0,0.35911029615624324,47.97965004355277,16.2613888472159,256.25,11944694.104166668,1068.0625,2015-2018
Utah,UT,donor,2016.5,44.525000000000006,30.200000000000003,82.725,17.275,3.35,22803.0,5857.75,0.30509986142430734,78.41677260074778,20.178669729711082,349.101875,1409637.6041666665,887.5,2015-2018
Virginia,VA,donor,2016.5,48.525,34.3,84.425,15.575,3.225,31334.5,9501.5,0.3178745527137746,29.208307105507465,8.861361150651392,234.9975,3814269.6458333335,1076.3125,2015-2018
