term,coef,std_err,p_value,base_term,state_abbr,event_time,ci_low,ci_high
evt_m4_CA,1.2220779220779114,0.3737877558867466,0.001077592827589272,evt_m4,CA,-4,0.4894539205398881,1.9547019236159349
evt_m3_CA,0.33636363636360933,0.17035850706963707,0.04833107622471489,evt_m3,CA,-3,0.0024609625071206898,0.670266310220098
evt_m2_CA,0.07272727272725366,0.24601134482418419,0.7675159548984826,evt_m2,CA,-2,-0.40945496312814733,0.5549095085826546
evt_p0_CA,-6.501768760025671e-16,1.5912089225858487e-16,4.387679296983427e-05,evt_p0,CA,0,-9.620538248293935e-16,-3.3829992717574075e-16
evt_p1_CA,0.5363636363636148,0.3110520337326717,0.08464406207201836,evt_p1,CA,1,-0.07329834975242167,1.1460256224796512
evt_p2_CA,0.6909090909090647,0.3651161544569581,0.05845109687210402,evt_p2,CA,2,-0.02471857182657311,1.4065367536447027
evt_p3_CA,0.3443181818181724,0.24924180716107766,0.16713683512854594,evt_p3,CA,3,-0.14419576021753977,0.8328321238538846
evt_p4_CA,0.7193181818181666,0.28202801955868273,0.010756226770057288,evt_p4,CA,4,0.16654326348314852,1.2720931001531848
evt_m4_OR,-0.2750541125541015,0.32264775464967876,0.3939419664842939,evt_m4,OR,-4,-0.9074437116674718,0.35733548655926883
evt_m3_OR,0.5957792207792317,0.32281509777834383,0.06495405328494,evt_m3,OR,-3,-0.03693837086632212,1.2284968124247855
evt_m2_OR,-0.4363636363636303,0.2372118409060957,0.06583396260490634,evt_m2,OR,-2,-0.9012988445395779,0.028571571812317287
evt_p0_OR,-1.1727272727272693,0.24601134482418394,1.870225287868772e-06,evt_p0,OR,0,-1.6549095085826697,-0.6905450368718689
evt_p1_OR,2.9057397378644116e-16,6.559409953902345e-17,9.42856438805966e-06,evt_p1,OR,1,1.6200953868995521e-16,4.1913840888292714e-16
evt_p2_OR,-1.136363636363635,0.3521374791530915,0.0012507560807435327,evt_p2,OR,2,-1.8265530955036944,-0.44617417722357555
evt_p3_OR,-0.6818181818181772,0.40069594804602177,0.0888332067892976,evt_p3,OR,3,-1.4671822399883798,0.10354587635202539
evt_p4_OR,-1.4409090909090851,0.2709849515464175,1.0531662047427672e-07,evt_p4,OR,4,-1.9720395959400634,-0.9097785858781069
