term,coef,std_err,p_value,base_term,state_abbr,event_time,ci_low,ci_high
evt_m4_CA,-3797.155844155921,3752.4529296618407,0.31157966024741945,evt_m4,CA,-4,-11151.963586293128,3557.6518979812863
evt_m3_CA,9886.45454545457,1937.1087254564222,3.3304638272567895e-07,evt_m3,CA,-3,6089.721443559982,13683.187647349157
evt_m2_CA,4778.545454545376,1903.2871390602877,0.012049878269185962,evt_m2,CA,-2,1048.1026619872118,8508.98824710354
evt_p0_CA,-2870.7272727273194,2116.4648626248877,0.17497879487562207,evt_p0,CA,0,-7018.998403472099,1277.5438580174605
evt_p1_CA,-2763.272727273,2777.9467952454165,0.31987360433080536,evt_p1,CA,1,-8208.048445954017,2681.502991408016
evt_p2_CA,-4901.7272727274685,4305.247317812476,0.2548920621249232,evt_p2,CA,2,-13340.01201563992,3536.5574701849837
evt_p3_CA,-2851.939393939503,2785.196668250313,0.305852571998943,evt_p3,CA,3,-8310.924863710115,2607.04607583111
evt_p4_CA,-10101.60606060617,2065.468947299879,1.0047378466292031e-06,evt_p4,CA,4,-14149.925197313933,-6053.286923898407
evt_m4_OR,3167.108225108225,1705.760369354741,0.06335193251510747,evt_m4,OR,-4,-176.18209882706742,6510.398549043517
evt_m3_OR,229.441558441516,1276.9660225220193,0.8574060682633146,evt_m3,OR,-3,-2273.411845701642,2732.294962584674
evt_m2_OR,2413.9090909089155,1118.8141948792058,0.03096203406118924,evt_m2,OR,-2,221.03326894567226,4606.784912872159
evt_p0_OR,-781.5454545455323,1903.287139060286,0.681344379986963,evt_p0,OR,0,-4511.988247103693,2948.8973380126286
evt_p1_OR,-2620.2727272728916,1406.6906209787473,0.06250147300199665,evt_p1,OR,1,-5377.386344391236,136.84088984545315
evt_p2_OR,-7257.818181818099,2283.931563256217,0.001484104202912098,evt_p2,OR,2,-11734.324045800284,-2781.3123178359137
evt_p3_OR,-11333.272727272668,4004.3113585178403,0.004650908502303619,evt_p3,OR,3,-19181.722989967635,-3484.822464577701
evt_p4_OR,-6546.818181818222,1897.6853948235675,0.0005608015380036158,evt_p4,OR,4,-10266.281555672414,-2827.3548079640295
