term,coef,std_err,t,p_value,infer_method,p_value_resampled,ci_low_resampled,ci_high_resampled,resample_count,event_time,ci_low,ci_high
evt_m8,-63.102016629577136,18.081968130206043,-3.489775901339236,0.00048342575144214755,permutation,0.04918032786885246,-62.284673706294086,32.983515153224076,60,-8,-98.54267416478098,-27.66135909437329
evt_m7,-26.731884203360266,28.359005561236362,-0.9426241743786604,0.34587317022352027,permutation,0.21311475409836064,-32.939245414842574,33.26817750711013,60,-7,-82.31553510338352,28.851766696663
evt_m6,-36.06738287174369,30.244205982986916,-1.1925385937403168,0.23305012727958074,permutation,0.08196721311475409,-41.15454058836259,31.51429229893451,60,-6,-95.34602659839804,23.211260854910662
evt_m5,-18.02128668602279,16.974151853543237,-1.0616899649251677,0.28837645650948485,permutation,0.04918032786885246,-16.362964435541816,11.982398871790611,60,-5,-51.29062431896753,15.24805094692195
evt_m4,-28.696023498660196,17.887926235130852,-1.6042118645538055,0.10866736036573844,permutation,0.36065573770491804,-53.789943066368124,50.57614865441787,60,-4,-63.756358919516664,6.364311922196272
evt_m3,-13.054340416123011,22.16817975006633,-0.5888774163374397,0.5559435083621274,permutation,0.4918032786885246,-22.226752467058628,31.263953837156926,60,-3,-56.50397272625302,30.395291894006995
evt_m2,-26.10630845722642,28.83233413333131,-0.9054524804166479,0.36522572369168604,permutation,0.16393442622950818,-30.282099930616834,27.2107229532584,60,-2,-82.61768335855578,30.40506644410295
evt_p0,-14.193683503267465,21.41134157282877,-0.6629049120994551,0.507391455552592,permutation,0.639344262295082,-65.14636786245798,46.10883349041453,60,0,-56.159912986011854,27.772545979476924
evt_p1,22.836578051484878,18.994375655959146,1.2022810575677074,0.22925465343620266,permutation,0.13114754098360656,-27.500998880606826,23.694050950910125,60,1,-14.39239823419505,60.065554337164805
evt_p2,15.924843733241204,20.17223708477048,0.7894436133344899,0.4298527737510224,permutation,0.32786885245901637,-30.468114029124397,29.901758050279593,60,2,-23.612740952908936,55.462428419391344
evt_p3,72.43015052102466,59.714130442801526,1.2129482583758537,0.22514960341627654,permutation,0.04918032786885246,-28.012210894789813,68.83943718226445,60,3,-44.60954514686634,189.46984618891565
evt_p4,47.45648325523996,55.58080090895323,0.8538287048612039,0.3931999072380522,permutation,0.16393442622950818,-75.6193318588048,45.42397254634754,60,4,-61.48188652630837,156.39485303678828
evt_p5,62.54107748668693,24.530876481003816,2.5494840159958163,0.010788245632746978,permutation,0.04918032786885246,-46.00535821176173,55.29340606980928,60,5,14.460559583919455,110.6215953894544
evt_p6,36.71142189009612,25.285636167801616,1.4518686279621449,0.14653813712062425,permutation,0.08196721311475409,-43.13253091945096,33.14662854586704,60,6,-12.848424998795046,86.27126877898729
evt_p7,77.73247633958576,51.646558581870465,1.5050853043066506,0.1323021467083706,permutation,0.06557377049180328,-44.828755326437154,77.73247633958576,60,7,-23.494778480880356,178.9597311600519
evt_p8,14.558145464025074,17.43332328299831,0.8350757470449007,0.4036750610827722,permutation,0.5245901639344263,-48.18619282164576,41.27322047612304,60,8,-19.61116817065161,48.72745909870176
