term,coef,std_err,t,p_value,infer_method,p_value_resampled,ci_low_resampled,ci_high_resampled,resample_count,event_time,ci_low,ci_high
evt_m8,-445025.2155978577,226045.44473425334,-1.968742241725085,0.048982697883921136,permutation,0.08196721311475409,-447353.0109956011,336222.76847735647,60,-8,-888074.2872769942,-1976.14391872118
evt_m7,-109341.9664097745,219951.57845026924,-0.49711835295829243,0.6191055931135936,permutation,0.5245901639344263,-180478.49113249875,152523.17810666724,60,-7,-540447.0601723022,321763.1273527532
evt_m6,-103339.62174592726,219415.7377853692,-0.47097634285018014,0.6376576289130338,permutation,0.639344262295082,-197145.79995527066,172328.9942075163,60,-6,-533394.4678052508,326715.2243133963
evt_m5,-52858.83824400688,254743.9986201058,-0.20749787445565743,0.8356210524909553,permutation,0.6557377049180327,-122091.59040758437,85596.00233499888,60,-5,-552157.0755394142,446439.3990514005
evt_m4,-158075.91993165482,218785.90900731325,-0.7225141721826833,0.46997841527283546,permutation,0.09836065573770492,-208186.76060370824,118139.72172583007,60,-4,-586896.3015859888,270744.46172267915
evt_m3,-76650.74264640175,239871.63509338204,-0.31954900635317557,0.7493102359312159,permutation,0.18032786885245902,-81702.07278343724,78184.30158004444,60,-3,-546799.1474294305,393497.662136627
evt_m2,-71075.80404415261,242303.39066588838,-0.29333392260349705,0.7692669269626211,permutation,0.2786885245901639,-113918.18332033324,88782.41067549078,60,-2,-545990.4497492937,403838.8416609886
evt_p0,-105930.29383633845,248392.3451540952,-0.42646360044075615,0.669770065964807,permutation,0.08196721311475409,-111011.19173158659,48459.09722883895,60,0,-592779.2903383651,380918.7026656882
evt_p1,-990624.9548423216,525925.0054948858,-1.8835859571083933,0.05962100283485683,permutation,0.06557377049180328,-990624.9548423216,301364.91172346723,60,1,-2021437.9656122979,40188.05592765461
evt_p2,-815325.1063907193,414894.4737472064,-1.9651385062494078,0.04939820893082281,permutation,0.06557377049180328,-815325.1063907193,238532.07085209477,60,2,-1628518.2749352437,-2131.9378461948363
evt_p3,-624614.259497181,276763.3922462507,-2.2568528822678595,0.02401726906448905,permutation,0.04918032786885246,-586708.4490753248,163778.78824003655,60,3,-1167070.5082998325,-82158.01069452963
evt_p4,-723167.5632155156,336800.7231066704,-2.1471674898586137,0.0317799498821389,permutation,0.04918032786885246,-678299.5275499858,172316.46581438044,60,4,-1383296.9805045896,-63038.14592644153
evt_p5,-321292.6046463726,280450.6932415697,-1.1456295612349343,0.2519484603783696,permutation,0.13114754098360656,-761104.0639471026,334063.1585892164,60,5,-870975.9633998491,228390.75410710392
evt_p6,-251922.84707189817,226337.9045241301,-1.1130387002634834,0.2656918087871193,permutation,0.13114754098360656,-597106.6197815061,248278.6846462574,60,6,-695545.1399391931,191699.4457953968
evt_p7,-116204.6590069239,238581.56250803135,-0.48706470770561794,0.6262124757438117,permutation,0.32786885245901637,-337237.2131631918,173550.40127239187,60,7,-583824.5215226654,351415.20350881753
evt_p8,-207436.65441053826,226905.67011161798,-0.9141977558714041,0.3606129431375378,permutation,0.21311475409836064,-206756.0761962237,343598.9884670442,60,8,-652171.7678293095,237298.45900823298
