term,coef,std_err,p_value,base_term,state_abbr,event_time,ci_low,ci_high
evt_m4_CA,0.7155844155843951,0.42760506591233666,0.09423473126530457,evt_m4,CA,-4,-0.12252151360378472,1.553690344772575
evt_m3_CA,1.8999999999999346,0.47138155063891324,5.5609789656646525e-05,evt_m3,CA,-3,0.9760921607476647,2.823907839252205
evt_m2_CA,0.2545454545454433,0.37789017347577303,0.5005679524770614,evt_m2,CA,-2,-0.48611928546707184,0.9952101945579584
evt_p0_CA,3.763176298034768e-16,2.916161752387907e-16,0.19689263314078098,evt_p0,CA,0,-1.95250073664553e-16,9.478853332715065e-16
evt_p1_CA,-0.6363636363636722,0.49670788148548756,0.20013650627463886,evt_p1,CA,1,-1.6099110840752278,0.33718381134788333
evt_p2_CA,-1.1272727272727607,0.6382733679935885,0.0773743084765265,evt_p2,CA,2,-2.3782885285401942,0.12374307399467255
evt_p3_CA,-1.6765151515151544,0.6249060746485924,0.00730026521272587,evt_p3,CA,3,-2.9013310578263956,-0.45169924520391325
evt_p4_CA,-1.9598484848485018,0.5388665290599998,0.0002758499716195958,evt_p4,CA,4,-3.016026881806101,-0.9036700878909023
evt_m4_OR,2.325919913419926,0.52540673890688,9.559970371064009e-06,evt_m4,OR,-4,1.2961227051624413,3.355717121677411
evt_m3_OR,2.1717532467532585,0.44178296384149024,8.838329106404597e-07,evt_m3,OR,-3,1.3058586376239378,3.0376478558825792
evt_m2_OR,3.0454545454545574,0.4935697857108887,6.817723007363729e-10,evt_m2,OR,-2,2.0780577654612156,4.012851325447899
evt_p0_OR,0.045454545454543194,0.37789017347577314,0.9042573317304656,evt_p0,OR,0,-0.6952101945579722,0.7861192854670586
evt_p1_OR,1.1034628225142258e-15,1.1894035995977524e-16,1.7358877155008004e-20,evt_p1,OR,1,8.703397169930663e-16,1.3365859280353853e-15
evt_p2_OR,-0.09090909090909395,0.5178120186068942,0.8606365753252814,evt_p2,OR,2,-1.1058206473786065,0.9240024655604187
evt_p3_OR,0.918181818181818,0.6548308631805804,0.1608655698444661,evt_p3,OR,3,-0.3652866736521194,2.201650310015755
evt_p4_OR,-0.07272727272724566,0.6491806524988115,0.9108001519761685,evt_p4,OR,4,-1.3451213516249163,1.199666806170425
