term,coef,std_err,p_value,base_term,state_abbr,event_time,ci_low,ci_high
evt_m4_CA,-7.67662338912487,1.8821841385047207,4.531318369977692e-05,evt_m4,CA,-4,-11.365704300594123,-3.987542477655618
evt_m3_CA,-0.49090828855273116,0.7218439952851996,0.49645676840716735,evt_m3,CA,-3,-1.9057225193117224,0.9239059422062601
evt_m2_CA,-0.22727137767105532,0.7463429509517384,0.7607368384240526,evt_m2,CA,-2,-1.6901035615364626,1.235560806194352
evt_p0_CA,8.728487038740822e-08,3.88891097681624e-16,0.0,evt_p0,CA,0,8.728486962518167e-08,8.728487114963477e-08
evt_p1_CA,0.1818181317513563,0.6746869050146699,0.7875563341036359,evt_p1,CA,1,-1.1405682020773966,1.5042044655801092
evt_p2_CA,0.40909232676884955,0.669701617503131,0.5412938528474421,evt_p2,CA,2,-0.9035228435372871,1.7217074970749862
evt_p3_CA,0.32234890145485906,0.6664286811235999,0.6286016173775524,evt_p3,CA,3,-0.9838513135473967,1.6285491164571149
evt_p4_CA,0.21401535165420837,0.6534283597185896,0.7432694161425197,evt_p4,CA,4,-1.0667042333942272,1.4947349367026441
evt_m4_OR,-2.1277239322662354,0.6409609859146164,0.0009015162834125724,evt_m4,OR,-4,-3.3840074646588834,-0.8714403998735873
evt_m3_OR,-1.0791126228868961,0.9426336434751771,0.2522983327324285,evt_m3,OR,-3,-2.926674564098243,0.768449318324451
evt_m2_OR,-0.5636359204454564,0.6775871696203608,0.4055060865925223,evt_m2,OR,-2,-1.8917067729013635,0.7644349320104507
evt_p0_OR,-0.0727274189361804,0.7463429509439242,0.9223729779033571,evt_p0,OR,0,-1.535559602786272,1.390104764913911
evt_p1_OR,-5.655717934934625e-16,1.257149228832059e-16,6.832405378825331e-06,evt_p1,OR,1,-8.119730423445461e-16,-3.19170544642379e-16
evt_p2_OR,0.20909165562665027,0.6271108663614735,0.7388168463020831,evt_p2,OR,2,-1.0200456424418378,1.4382289536951383
evt_p3_OR,1.3363643910133334,0.6217442202266229,0.031604315144881046,evt_p3,OR,3,0.11774571936915246,2.5549830626575143
evt_p4_OR,0.7954550123612387,0.5633756054243383,0.15796634279602517,evt_p4,OR,4,-0.30876117427046434,1.8996711989929418
