submission_year,monthly_rent,unit_rows,mean_rent_midpoint
2022,,8823,
2022,$1751-$2000,5179,1875.5
2022,$2251-$2500,4598,2375.5
2022,$1501-$1750,4510,1625.5
2022,$1251-$1500,4434,1375.5
2022,$2001-$2250,4311,2125.5
2022,$501-$750,4248,625.5
2022,$2501-$2750,4136,2625.5
2022,$2751-$3000,3690,2875.5
2022,$1001-$1250,3673,1125.5
2022,$3001-$3250,2679,3125.5
2022,$3251-$3500,2434,3375.5
2022,$751-$1000,1496,875.5
2022,$3501-$3750,1411,3625.5
2022,$251-$500,1334,375.5
2022,$3751-$4000,1251,3875.5
2022,$4001-$4250,869,4125.5
2022,$4251-$4500,666,4375.5
2022,$1-$250,498,125.5
2022,$4501-$4750,450,4625.5
2022,$0 (no rent paid by the occupant),394,0.0
2022,$4751-$5000,382,4875.5
2022,$5001-$5250,208,5125.5
2022,$5251-$5500,180,5375.5
2022,$7000+,118,7000.0
2022,$5501-$5750,113,5625.5
2022,$5751-$6000,112,5875.5
2022,0,78,
2022,2199,77,
2022,1999,58,
2022,$501-$1000,56,750.5
2022,$6751-$7000,52,6875.5
2022,$6251-$6500,49,6375.5
2022,$6001-$6250,46,6125.5
2022,2049,38,
2022,2299,37,
2022,1799,34,
2022,2750,27,
2022,1166,26,
2022,1710.89,25,
2022,$6501-$6750,24,6625.5
2022,1738.07,24,
2022,Leave blank,22,
2022,6780,20,
2022,2500,19,
2022,2599,18,
2022,3250,18,
2022,1849,17,
2022,2900,17,
2022,1789.22,16,
2022,2249,16,
2022,2929.36,16,
2022,3000,16,
2022,1840.37,15,
2022,1850,15,
2022,2100,15,
2022,2114.7,15,
2022,2012.99,14,
2022,2215.4,14,
2022,2349,14,
2022,3129,14,
2022,850,14,
2022,2044.97,13,
2022,2850,13,
2022,1699,12,
2022,2909,12,
2022,8800,12,
2022,2000,11,
2022,2096.12,11,
2022,2795,11,
2022,2845,11,
2022,3433,11,
2022,7395,11,
2022,1761.24,10,
2022,2099,10,
2022,2250,10,
2022,2700,10,
2022,3269,10,
2022,4945,10,
2022,500,10,
2022,$1750-$2000,9,1875.0
2022,2449,9,
2022,2805,9,
2022,2890,9,
2022,2351.87,8,
2022,2950,8,
2022,3275,8,
2022,3500,8,
2022,6915,8,
2022,10500,7,
2022,1749,7,
2022,1995,7,
2022,2200,7,
2022,2300,7,
2022,2399,7,
2022,2400,7,
2022,2800,7,
2022,3017.85,7,
2022,4995,7,
2022,1121,6,
2022,1495,6,
2022,1737.52,6,
2022,1861.94,6,
2022,1895,6,
2022,2134.84,6,
2022,2249.57,6,
2022,2320,6,
2022,2329,6,
2022,2375,6,
2022,2499,6,
2022,2600,6,
2022,2669,6,
2022,2675,6,
2022,2748,6,
2022,3150,6,
2022,3200,6,
2022,4000,6,
2022,1195,5,
2022,1750,5,
2022,2195,5,
2022,2314.69,5,
2022,2350,5,
2022,2391.62,5,
2022,2429.62,5,
2022,2450,5,
2022,2745,5,
2022,2749,5,
2022,2781,5,
2022,2895,5,
2022,2975.9,5,
2022,3100,5,
2022,3156,5,
2022,3240,5,
2022,3700,5,
2022,3795,5,
2022,3950,5,
2022,4900,5,
2022,700,5,
2022,750,5,
2022,$1500-$1750,4,1625.0
2022,1000,4,
2022,1100,4,
2022,1411.61,4,
2022,1450,4,
2022,1595,4,
2022,1602.9,4,
2022,1643.49,4,
2022,1800,4,
2022,1850.35,4,
2022,1891.52,4,
2022,1900,4,
2022,2074.42,4,
2022,2104.63,4,
2022,2139.83,4,
2022,2150,4,
2022,2438.11,4,
2022,2495,4,
2022,2525,4,
2022,2550,4,
2022,2879,4,
2022,3069,4,
2022,3109,4,
2022,3190,4,
2022,3300,4,
2022,3325,4,
2022,3400,4,
2022,3549,4,
2022,3550,4,
2022,3995,4,
2022,4095,4,
2022,4535,4,
2022,4545,4,
2022,600,4,
2022,7360,4,
2022,796.81,4,
2022,9020,4,
2022,1200,3,
2022,1275,3,
2022,1350,3,
2022,13500,3,
2022,1435,3,
2022,1490.89,3,
2022,1500,3,
2022,1550.52,3,
2022,1602.07,3,
2022,1650,3,
2022,1675,3,
2022,1739.1,3,
2022,1790,3,
2022,1875,3,
2022,1950,3,
2022,2025,3,
2022,2050,3,
2022,2097.15,3,
2022,2138.07,3,
2022,2192.93,3,
2022,2250.6,3,
2022,2265.75,3,
2022,2316.1,3,
2022,2394,3,
2022,2409,3,
2022,2455.2,3,
2022,2490,3,
2022,2506.35,3,
2022,2588,3,
2022,2605,3,
2022,2615,3,
2022,2634,3,
2022,2650,3,
2022,2659.8,3,
2022,2755,3,
2022,2849,3,
2022,2858,3,
2022,2920,3,
2022,3032,3,
2022,3050,3,
2022,3099,3,
2022,3180,3,
2022,3207,3,
2022,3350,3,
2022,3375,3,
2022,3382,3,
2022,3391.09,3,
2022,3395,3,
2022,3439,3,
2022,3450,3,
2022,3453,3,
2022,3485,3,
2022,3491,3,
2022,3495,3,
2022,3595,3,
2022,3750,3,
2022,4045,3,
2022,4250,3,
2022,4463,3,
2022,4474,3,
2022,4532,3,
2022,4724,3,
2022,4950,3,
2022,6000,3,
2022,6280,3,
2022,7525,3,
2022,800,3,
2022,8275,3,
2022,8640,3,
2022,-,2,
2022,1003,2,
2022,1005.41,2,
2022,1043.63,2,
2022,1050,2,
2022,1059.2,2,
2022,1063.34,2,
2022,1066.28,2,
2022,1067.35,2,
2022,1067.72,2,
2022,1071.37,2,
2022,1074.98,2,
2022,1082.95,2,
2022,1087.27,2,
2022,1094.31,2,
2022,1095.14,2,
2022,1099.01,2,
2022,1104.04,2,
2022,1119.67,2,
2022,1121.78,2,
2022,1125.07,2,
2022,1127.59,2,
2022,1135.13,2,
2022,1150,2,
2022,1159.35,2,
2022,1159.41,2,
2022,1170.96,2,
2022,1177.48,2,
2022,1184.46,2,
2022,1186.06,2,
2022,1191.1,2,
2022,1197.91,2,
2022,1203.57,2,
2022,1218.87,2,
2022,1219.07,2,
2022,1219.99,2,
2022,1222.51,2,
2022,1225,2,
2022,1231.21,2,
2022,1233.35,2,
2022,1239,2,
2022,12450,2,
2022,1248.9,2,
2022,1249.94,2,
2022,1263.86,2,
2022,1266.64,2,
2022,1269.57,2,
2022,1270.09,2,
2022,1273.37,2,
2022,1276.4,2,
2022,1278.63,2,
2022,1281.19,2,
2022,1281.2,2,
2022,1288,2,
2022,1299.23,2,
2022,1310.73,2,
2022,1312.88,2,
2022,1317.07,2,
2022,1317.82,2,
2022,1320.1,2,
2022,1321.47,2,
2022,1322.41,2,
2022,1323.71,2,
2022,1327.53,2,
2022,1328,2,
2022,1328.21,2,
2022,1330.8,2,
2022,1345.17,2,
2022,1370.44,2,
2022,1375,2,
2022,1395,2,
2022,1397.66,2,
2022,1402.52,2,
2022,1411.48,2,
2022,1412.05,2,
2022,1412.51,2,
2022,1412.69,2,
2022,1413.15,2,
2022,1413.17,2,
2022,1414.11,2,
2022,1415.25,2,
2022,1415.8,2,
2022,1417.73,2,
2022,1418.08,2,
2022,1419.79,2,
2022,1420.78,2,
2022,1420.81,2,
2022,1428.29,2,
2022,1436.4,2,
2022,1440.95,2,
2022,1443.16,2,
2022,1443.94,2,
2022,1450.04,2,
2022,1452.74,2,
2022,1453.69,2,
2022,1460.74,2,
2022,1462.84,2,
2022,1470.3,2,
2022,1476.19,2,
2022,1478.86,2,
2022,1491.81,2,
2022,1493.27,2,
2022,1494,2,
2022,1494.44,2,
2022,1496.48,2,
2022,1506.9,2,
2022,1518.02,2,
2022,1519.8,2,
2022,1524.18,2,
2022,1525.35,2,
2022,1528.9,2,
2022,1529.38,2,
2022,1534.97,2,
2022,1543.15,2,
2022,1543.56,2,
2022,1544.85,2,
2022,1548.95,2,
2022,1555.06,2,
2022,1559.43,2,
2022,1562.24,2,
2022,1566.23,2,
2022,1574,2,
2022,1575.07,2,
2022,1575.1,2,
2022,1575.14,2,
2022,1576.16,2,
2022,1580.26,2,
2022,1582.71,2,
2022,1585.31,2,
2022,1591.64,2,
2022,1593.28,2,
2022,1600.69,2,
2022,1601.27,2,
2022,1606.06,2,
2022,1607.77,2,
2022,1607.94,2,
2022,1624.99,2,
2022,1628.71,2,
2022,1634.04,2,
2022,1634.4,2,
2022,1636.52,2,
2022,1638.66,2,
2022,1640.59,2,
2022,1641.89,2,
2022,1644.57,2,
2022,1649.17,2,
2022,1655.32,2,
2022,1657.88,2,
2022,1657.89,2,
2022,1661.67,2,
2022,1668.07,2,
2022,1669.68,2,
2022,1679.15,2,
2022,1681.71,2,
2022,1685,2,
2022,1685.23,2,
2022,1689.65,2,
2022,1694.42,2,
2022,1695,2,
2022,1696.58,2,
2022,1700,2,
2022,1701.7,2,
2022,1707.54,2,
2022,1707.92,2,
2022,1731.91,2,
2022,1733.37,2,
2022,1750.15,2,
2022,1755.51,2,
2022,1759,2,
2022,1766.98,2,
2022,1770.07,2,
2022,1775.83,2,
2022,1777.48,2,
2022,1783.07,2,
2022,1786.68,2,
2022,1793.87,2,
2022,1795,2,
2022,1796.01,2,
2022,1803.29,2,
2022,1806.94,2,
2022,1809.2,2,
2022,1816.41,2,
2022,1826.2,2,
2022,1832.53,2,
2022,1834.67,2,
2022,1846.8,2,
2022,1849.3,2,
2022,1855.06,2,
2022,1860.37,2,
2022,1862.77,2,
2022,1865.49,2,
2022,1876.12,2,
2022,1892.9,2,
2022,1896.37,2,
2022,1896.65,2,
2022,1899,2,
2022,1907.37,2,
2022,1914.76,2,
2022,1914.92,2,
2022,1917.02,2,
2022,1924,2,
2022,1925,2,
2022,1943.7,2,
2022,1948.02,2,
2022,1974,2,
2022,1980.24,2,
2022,1994.85,2,
2022,2003.6,2,
2022,2009.62,2,
2022,2020.66,2,
2022,2021,2,
2022,2023.08,2,
2022,2027.64,2,
2022,2029.62,2,
2022,2031.2,2,
2022,2037,2,
2022,2046,2,
2022,2063.34,2,
2022,2070.03,2,
2022,2074.32,2,
2022,2075,2,
2022,2090,2,
2022,2095,2,
2022,2098,2,
2022,2101.06,2,
2022,2109,2,
2022,2120,2,
2022,2126.41,2,
2022,2129.38,2,
2022,2133.09,2,
2022,2137.93,2,
2022,2146.91,2,
2022,2147.27,2,
2022,2147.98,2,
2022,2163.36,2,
2022,2168.76,2,
2022,2173.45,2,
2022,2178,2,
2022,2178.74,2,
2022,2184.18,2,
2022,2184.39,2,
2022,2186.47,2,
2022,2192,2,
2022,2195.09,2,
2022,2196.53,2,
2022,2204.35,2,
2022,2214.76,2,
2022,2223.32,2,
2022,2223.45,2,
2022,2225,2,
2022,2235.65,2,
2022,2245.24,2,
2022,2256.16,2,
2022,2257,2,
2022,2263.93,2,
2022,2264.74,2,
2022,2265.73,2,
2022,2266.18,2,
2022,2283.32,2,
2022,2291.82,2,
2022,2295,2,
2022,2300.72,2,
2022,2301.9,2,
2022,2310.29,2,
2022,2311.34,2,
2022,2311.65,2,
2022,2312.03,2,
2022,2321.85,2,
2022,2329.99,2,
2022,2336.24,2,
2022,2356.36,2,
2022,2359.39,2,
2022,2364.38,2,
2022,2366.45,2,
2022,2371.24,2,
2022,2372.34,2,
2022,2374,2,
2022,2383.1,2,
2022,2390.36,2,
2022,2395.98,2,
2022,2398,2,
2022,2402,2,
2022,2422,2,
2022,2422.37,2,
2022,2429,2,
2022,2436.56,2,
2022,2438.66,2,
2022,2448,2,
2022,2454.17,2,
2022,2468,2,
2022,2469,2,
2022,2475,2,
2022,2486.28,2,
2022,2490.66,2,
2022,2509.44,2,
2022,2515.83,2,
2022,2573,2,
2022,2580,2,
2022,2595,2,
2022,2624.24,2,
2022,2629,2,
2022,2633,2,
2022,2650.82,2,
2022,2664.75,2,
2022,2666,2,
2022,2667,2,
2022,2670,2,
2022,2672.72,2,
2022,2687,2,
2022,2690,2,
2022,2709,2,
2022,2715.55,2,
2022,2717,2,
2022,2720,2,
2022,2722,2,
2022,2723.93,2,
2022,2724,2,
2022,2729.23,2,
2022,2735,2,
2022,2742,2,
2022,2754,2,
2022,2761,2,
2022,2774,2,
2022,2775,2,
2022,2796,2,
2022,2813.25,2,
2022,2819,2,
2022,2820,2,
2022,2825,2,
2022,2855,2,
2022,2856,2,
2022,2865,2,
2022,2876.08,2,
2022,2902,2,
2022,2924,2,
2022,2945.21,2,
2022,2957,2,
2022,2966,2,
2022,2970,2,
2022,2971,2,
2022,2975,2,
2022,2980,2,
2022,2987,2,
2022,2990,2,
2022,2990.79,2,
2022,3008,2,
2022,3037,2,
2022,3037.28,2,
2022,"3038,31",2,
2022,3038.31,2,
2022,3048,2,
2022,3049,2,
2022,3056,2,
2022,3057,2,
2022,3062,2,
2022,3063.88,2,
2022,3070,2,
2022,3073,2,
2022,3075,2,
2022,3079,2,
2022,3086,2,
2022,3101,2,
2022,3130,2,
2022,3137,2,
2022,3145.84,2,
2022,3155,2,
2022,3167.86,2,
2022,3171.3,2,
2022,3175,2,
2022,3179,2,
2022,3181,2,
2022,3185,2,
2022,3191,2,
2022,3197,2,
2022,3206,2,
2022,3224,2,
2022,3230,2,
2022,3231,2,
2022,3233,2,
2022,3247,2,
2022,3251,2,
2022,3255,2,
2022,3274,2,
2022,3305,2,
2022,3307,2,
2022,3308,2,
2022,3321,2,
2022,3322.09,2,
2022,3349,2,
2022,3357,2,
2022,336.75,2,
2022,3368,2,
2022,3374,2,
2022,3380,2,
2022,3382.91,2,
2022,3399,2,
2022,3404,2,
2022,3405,2,
2022,3407.23,2,
2022,3422.79,2,
2022,3455,2,
2022,348.67,2,
2022,3489,2,
2022,3493,2,
2022,3499,2,
2022,3526,2,
2022,3564.54,2,
2022,3565.15,2,
2022,3589,2,
2022,3599,2,
2022,3612.1,2,
2022,3616,2,
2022,3631,2,
2022,3643.42,2,
2022,3654.4,2,
2022,3661,2,
2022,3663,2,
2022,3672,2,
2022,3680,2,
2022,3684,2,
2022,3697,2,
2022,3699,2,
2022,3703,2,
2022,3717.65,2,
2022,3796,2,
2022,3821,2,
2022,3840,2,
2022,3888,2,
2022,3996,2,
2022,4030,2,
2022,4050,2,
2022,4068,2,
2022,4100,2,
2022,4145,2,
2022,4146,2,
2022,4150,2,
2022,4172,2,
2022,4175,2,
2022,4195,2,
2022,4251,2,
2022,4310,2,
2022,4446,2,
2022,4490,2,
2022,4517,2,
2022,4570,2,
2022,4579,2,
2022,4595,2,
2022,4631,2,
2022,4674,2,
2022,5054,2,
2022,5250,2,
2022,5382,2,
2022,550,2,
2022,5800,2,
2022,6200,2,
2022,650,2,
2022,660,2,
2022,7000,2,
2022,7015,2,
2022,7285,2,
2022,7612,2,
2022,779.4,2,
2022,7865,2,
2022,7875,2,
2022,8080,2,
2022,809.71,2,
2022,822.73,2,
2022,8230,2,
2022,840,2,
2022,8485,2,
2022,8550,2,
2022,866,2,
2022,8710,2,
2022,8885,2,
2022,890,2,
2022,900,2,
2022,901.38,2,
2022,9070,2,
2022,909.99,2,
2022,9135,2,
2022,920.86,2,
2022,925,2,
2022,9420,2,
2022,9475,2,
2022,950,2,
2022,9960,2,
2022,$1001-$1251,1,1126.0
2022,$3750-$4000,1,3875.0
2022,1000.23,1,
2022,1001.15,1,
2022,10010,1,
2022,10030,1,
2022,10040,1,
2022,1012.03,1,
2022,10125,1,
2022,1013.39,1,
2022,1015.29,1,
2022,1017.89,1,
2022,1018.94,1,
2022,10190,1,
2022,1020.66,1,
2022,10210,1,
2022,1022.32,1,
2022,1024.31,1,
2022,1025.93,1,
2022,1029.76,1,
2022,1032,1,
2022,10330,1,
2022,10345,1,
2022,10395,1,
2022,1040,1,
