submission_year,analysis_neighborhood,unit_rows,unique_blocks,median_rent_midpoint,mean_rent_midpoint,occupied_nonowner,occupied_owner,nonowner_share
2022,Tenderloin,7275,49,1375.5,1587.5001687763713,6047,43,0.8312027491408934
2022,Nob Hill,7139,65,1625.5,1740.3419012304062,6255,53,0.8761731334920857
2022,Marina,4842,108,2375.5,2538.5883821193556,4493,68,0.9279223461379595
2022,Pacific Heights,4687,82,2625.5,2705.0307653826912,4293,49,0.9159377000213356
2022,Financial District/South Beach,4000,26,2875.5,2958.306654676259,3564,112,0.891
2022,Western Addition,3555,45,2125.5,2048.2930240210594,3211,20,0.9032348804500703
2022,Mission,3511,80,1875.5,1999.8367748279252,3160,35,0.9000284819139847
2022,Chinatown,3330,31,625.5,903.5569958063286,2656,24,0.7975975975975976
2022,Russian Hill,3100,60,2375.5,2547.076892899176,2795,42,0.9016129032258065
2022,South of Market,2888,23,2375.5,2414.962904498816,2614,7,0.9051246537396122
2022,Lakeshore,2613,22,,,2265,0,0.8668197474167624
2022,Hayes Valley,2254,52,1875.5,2079.3010977522217,2089,15,0.9267968056787933
2022,Mission Bay,2209,9,3375.5,3503.8316800991943,2125,1,0.961973743775464
2022,North Beach,1676,30,1875.5,1834.6742424242425,1366,116,0.815035799522673
2022,Castro/Upper Market,1675,41,2375.5,2387.3576723498886,1520,14,0.9074626865671642
2022,Outer Richmond,1591,81,1875.5,1983.4964763918251,1467,26,0.9220615964802011
2022,Haight Ashbury,1197,45,2375.5,2274.9857142857145,1060,9,0.885547201336675
2022,Inner Sunset,1133,52,2125.5,2142.197874493927,1046,22,0.9232127096204766
2022,Bayview Hunters Point,1033,14,625.5,1257.0737538148526,976,11,0.9448209099709584
2022,Potrero Hill,984,16,2875.5,2951.0544444444445,900,3,0.9146341463414634
2022,Inner Richmond,951,47,2125.5,2165.0393974507533,890,10,0.935856992639327
2022,Presidio Heights,855,30,2375.5,2232.518493150685,748,30,0.8748538011695907
2022,Twin Peaks,820,16,2375.5,2238.7906336088154,757,16,0.9231707317073171
2022,Sunset/Parkside,765,51,2125.5,2088.9174147217236,692,17,0.9045751633986928
2022,Lone Mountain/USF,643,37,2125.5,2256.7250922509224,594,7,0.9237947122861586
2022,Noe Valley,627,37,2125.5,2289.6587982832616,536,22,0.8548644338118022
2022,Japantown,593,8,1625.5,2002.7781155015198,432,37,0.7284991568296796
2022,West of Twin Peaks,183,25,2125.5,2147.8734567901233,162,9,0.8852459016393442
2022,Outer Mission,182,10,1625.5,1989.8292682926829,166,2,0.9120879120879121
2022,Oceanview/Merced/Ingleside,110,8,2875.5,2865.39898989899,99,6,0.9
2022,Bernal Heights,90,16,1875.5,2042.9433962264152,54,11,0.6
2022,Excelsior,88,15,1875.5,1954.0714285714287,70,10,0.7954545454545454
2022,Portola,61,7,2125.5,1974.4583333333333,58,2,0.9508196721311475
2022,Glen Park,35,5,2125.5,2246.712121212121,33,1,0.9428571428571428
2022,Golden Gate Park,35,1,2125.5,1993.3428571428572,35,0,1.0
2022,Seacliff,11,1,2125.5,2080.0454545454545,11,0,1.0
2022,Visitacion Valley,3,3,,,0,3,0.0
2023,Nob Hill,9421,76,1875.5,1934.7877555900993,8323,207,0.883451862859569
2023,Mission,8563,181,2125.5,2279.1616682286785,7468,419,0.8721242555179259
2023,Tenderloin,8377,51,1625.5,1630.4654186521443,7325,53,0.8744180494210337
2023,Pacific Heights,6038,125,2625.5,2931.9202156826905,5465,210,0.9051010268300762
2023,Marina,5797,134,2875.5,2956.693921149738,5142,284,0.8870105226841469
2023,Russian Hill,4843,76,2875.5,2863.9879933428438,4203,211,0.8678505058847822
2023,South of Market,4701,41,2375.5,2381.709798406001,4261,124,0.906402893001489
2023,Outer Richmond,4534,208,2125.5,2265.772645393721,3885,416,0.856859285399206
2023,Western Addition,4347,66,2375.5,2406.539353031075,3913,83,0.9001610305958132
2023,Hayes Valley,4258,69,2375.5,2554.085510996119,3852,142,0.904650070455613
2023,Castro/Upper Market,4140,99,2625.5,2754.8366031390133,3568,345,0.8618357487922705
2023,Financial District/South Beach,3363,50,2875.5,3047.853768844221,2985,192,0.8876003568242641
2023,Lakeshore,3307,31,2625.5,2584.3982634956587,2649,8,0.8010281221651043
2023,Sunset/Parkside,3271,433,2375.5,2554.4888475836433,2688,441,0.8217670437175176
2023,Inner Sunset,3254,157,2375.5,2562.323712409264,2892,210,0.8887523048555623
2023,Haight Ashbury,3248,84,2625.5,2807.2758260869564,2871,197,0.8839285714285714
2023,Chinatown,3178,38,875.5,1198.8084319526627,2685,92,0.8448709880427943
2023,Inner Richmond,2873,93,2375.5,2382.101870679138,2459,243,0.855899756352245
2023,North Beach,2758,45,2125.5,2348.906946826758,2330,170,0.8448150833937635
2023,Noe Valley,2490,142,2625.5,2828.7482826300293,2032,303,0.8160642570281125
2023,Mission Bay,2358,21,3375.5,3512.7011861313867,2188,57,0.9279050042408821
2023,Lone Mountain/USF,2113,80,2625.5,2707.8207395498393,1866,147,0.8831045906294368
2023,Potrero Hill,1761,89,3125.5,3321.053467271549,1542,144,0.8756388415672913
2023,Presidio Heights,1538,65,2625.5,2669.6844106463877,1313,121,0.85370611183355
2023,Bernal Heights,1131,181,2625.5,2831.7928490351874,881,193,0.7789566755083996
2023,Twin Peaks,1050,59,2375.5,2443.1490486257926,946,62,0.900952380952381
2023,West of Twin Peaks,1023,308,2875.5,3265.8525925925924,675,307,0.6598240469208211
2023,Bayview Hunters Point,842,151,3125.5,2881.6914414414414,663,137,0.7874109263657957
2023,Excelsior,723,169,2375.5,2435.3504587155962,545,140,0.7538035961272476
2023,Outer Mission,568,100,2125.5,2353.585393258427,445,61,0.7834507042253521
2023,Oceanview/Merced/Ingleside,537,125,2875.5,2703.1234718826404,409,96,0.7616387337057728
2023,Japantown,484,9,2375.5,2517.4858974358976,390,6,0.8057851239669421
2023,Glen Park,367,69,3125.5,3163.3720472440946,254,92,0.6920980926430518
2023,Portola,304,100,2375.5,2405.362831858407,226,64,0.743421052631579
2023,Visitacion Valley,164,60,2375.5,2480.9954128440368,109,47,0.6646341463414634
2023,Seacliff,109,24,2750.5,3214.51875,80,21,0.7339449541284404
2023,Golden Gate Park,42,3,2125.5,2066.1125,40,0,0.9523809523809523
2023,Lincoln Park,7,1,2875.5,2958.8333333333335,6,1,0.8571428571428571
2023,,4,3,2625.5,2458.8333333333335,3,1,0.75
2024,Nob Hill,10322,74,1875.5,2029.1633521157883,8916,259,0.8637860879674482
2024,Tenderloin,8875,52,1625.5,1623.8666923769122,7634,47,0.8601690140845071
2024,Mission,8031,177,2125.5,2251.5535354987064,6954,413,0.865894658199477
2024,Pacific Heights,6068,123,2875.5,2969.119795471147,5422,251,0.8935398813447594
2024,Marina,5947,135,2875.5,2920.826098951628,5407,245,0.9091979149150833
2024,Russian Hill,4971,74,2625.5,2843.405800411053,4360,214,0.8770871052102193
2024,South of Market,4915,42,2125.5,2361.5671338155516,4403,116,0.8958290946083418
2024,Western Addition,4633,68,2375.5,2406.5180913064596,4158,127,0.8974746384631987
2024,Hayes Valley,4555,69,2375.5,2537.1608257321172,4127,121,0.9060373216245884
2024,Outer Richmond,4428,205,2125.5,2315.282705389848,3808,446,0.8599819331526649
2024,Financial District/South Beach,4422,53,3125.5,3171.8921465968588,3797,241,0.8586612392582542
2024,Lakeshore,3979,32,2625.5,2570.6308411214955,3317,18,0.8336265393314903
2024,Castro/Upper Market,3701,99,2625.5,2800.0278935556266,3189,305,0.861659011078087
2024,Chinatown,3540,40,875.5,1168.534122085048,2920,65,0.8248587570621468
2024,Inner Sunset,3416,161,2375.5,2509.9198221929537,3022,239,0.8846604215456675
2024,Sunset/Parkside,3359,445,2375.5,2527.2786521388216,2498,724,0.743673712414409
2024,Haight Ashbury,3010,82,2625.5,2828.8432974378015,2671,189,0.887375415282392
2024,Inner Richmond,2872,95,2375.5,2423.8369255795037,2454,264,0.8544568245125348
2024,North Beach,2481,45,2125.5,2372.0844308560677,2118,143,0.8536880290205562
2024,Noe Valley,2307,136,2875.5,2898.0672268907565,1897,267,0.8222800173385348
2024,Mission Bay,2260,18,3375.5,3424.471212968139,2079,98,0.9199115044247788
2024,Lone Mountain/USF,1933,76,2625.5,2684.3736102984203,1696,149,0.8773926539058459
2024,Potrero Hill,1828,90,3125.5,3330.6942355889723,1590,152,0.8698030634573304
2024,Presidio Heights,1447,58,2625.5,2820.156626506024,1235,121,0.8534899792674498
