normalized_parcel,address,seismic_rows,rso_unit_count
5554-006-007,8009   Fountain Ave,3,27.0
4337-006-034,8555   Rugby Dr,2,5.0
4337-020-026,351    Huntley Dr,2,4.0
4340-001-009,8903   Harratt St   A,2,10.0
4340-027-018,1020   Carol Dr,2,4.0
5529-011-032,930    Harper Ave,2,4.0
5530-016-018,7705   Romaine St,2,9.0
5531-003-029,1128   Vista St,2,6.0
5531-008-021,1210   Formosa Ave,2,8.0
5554-020-093,1215   Harper Ave   1215-1,2,28.0
5554-021-018,1113   Sweetzer Ave,2,16.0
5554-023-007,1308   Flores St,2,9.0
5554-025-040,1241   Flores St   1241-1,2,24.0
5559-002-016,8623   Holloway Dr,2,32.0
5560-023-004,1123   Larrabee St,2,4.0
4334-001-003,142    Clark Dr,1,9.0
4335-003-022,147    La Peer Dr,1,9.0
4336-002-017,8702   Rosewood Ave,1,6.0
4336-004-015,8704   Dorrington Ave,1,3.0
4336-005-011,8736   Rangely Ave,1,6.0
4336-012-008,507    Almont Dr,1,3.0
4336-012-009,9007   Rangely Ave,1,5.0
4336-013-001,460    Almont Dr,1,3.0
4336-013-019,8823   Dorrington Ave,1,3.0
4336-013-026,8905   Dorrington Ave,1,3.0
4336-021-023,350    Doheny Dr,1,8.0
4336-022-022,408    Doheny Dr,1,6.0
4336-022-023,400    Doheny Dr,1,14.0
4336-024-012,8808   Melrose Ave,1,2.0
4337-002-074,802   West Knoll Dr,1,16.0
4337-003-065,8514   Sherwood Dr,1,12.0
4337-003-067,714   West Knoll Dr,1,6.0
4337-003-074,638    West Knoll Dr,1,7.0
4337-004-049,655   West Knoll Dr,1,8.0
4337-004-052,8568   Sherwood Dr,1,5.0
4337-004-056,720   Westmount Dr   A,1,5.0
4337-004-062,650   Westmount Dr,1,16.0
4337-004-067,624   Westmount Dr,1,4.0
4337-004-141,638   Westmount Dr,1,2.0
4337-005-052,8574   Rugby Dr,1,4.0
4337-007-036,813   Westmount Dr,1,9.0
4337-007-038,821   Westmount Dr,1,9.0
4337-007-044,8600   Rugby Dr,1,10.0
4337-007-052,842   Westbourne Dr,1,10.0
4337-007-053,836   Westbourne Dr,1,16.0
4337-007-057,812   Westbourne Dr,1,10.0
4337-008-020,615    Westmount Dr,1,5.0
4337-008-022,625   Westmount Dr,1,3.0
4337-008-026,653   Westmount Dr,1,4.0
4337-008-041,708   Westbourne Dr,1,2.0
4337-008-045,644   Westbourne Dr,1,8.0
4337-008-067,612   Westbourne Dr,1,10.0
4337-008-100,629   Westmount Dr,1,3.0
4337-009-036,518    West Knoll Dr,1,22.0
4337-011-024,612   Huntley Dr,1,8.0
4337-011-046,613   Westbourne Dr,1,8.0
4337-012-055,455    Westmount Dr,1,2.0
4337-013-043,813   Westbourne Dr,1,20.0
4337-014-037,803   Huntley Dr,1,4.0
4337-014-041,729   Huntley Dr,1,8.0
4337-014-047,701   Huntley Dr,1,2.0
4337-015-029,322    Huntley Dr,1,3.0
4337-018-031,516   San Vicente Blvd,1,4.0
4337-019-025,412    Norwich Dr,1,4.0
4337-020-014,393    Huntley Dr,1,3.0
4339-004-015,8561   West Knoll Dr,1,3.0
4339-006-011,920   Westbourne Dr,1,10.0
4339-006-026,930   Westbourne Dr,1,46.0
4339-007-001,961    Westbourne Dr,1,6.0
4339-007-004,949   Westbourne Dr,1,8.0
4339-007-005,943   Westbourne Dr,1,12.0
4339-007-016,984    Hancock Ave,1,5.0
4339-007-017,978    Hancock Ave,1,4.0
4339-007-032,940    Hancock Ave,1,27.0
4339-007-035,909   Westbourne Dr,1,34.0
4339-008-001,8714   Holloway Dr,1,12.0
4339-008-007,1000   Hancock Ave,1,12.0
4339-008-013,8616   Holloway Dr,1,18.0
4339-009-001,8730   Holloway Dr,1,16.0
4339-009-011,985    Hancock Ave,1,2.0
4339-009-012,979    Hancock Ave,1,4.0
4339-009-031,1016   Palm Ave,1,14.0
4339-009-040,1027   Hancock Ave,1,13.0
4339-010-026,918   Palm Ave,1,3.0
4339-010-037,842    Palm Ave,1,22.0
4339-013-015,909   Palm Ave,1,39.0
4339-015-001,984    Larrabee St,1,3.0
4339-017-017,1000   San Vicente Blvd,1,10.0
4339-017-021,972    San Vicente Blvd,1,2.0
4339-017-033,944    San Vicente Blvd,1,9.0
4339-017-034,969   Larrabee St,1,16.0
4339-018-002,939   Larrabee St,1,10.0
4339-018-030,908   San Vicente Blvd,1,10.0
4340-001-007,1013   San Vicente Blvd,1,12.0
4340-001-008,1007   San Vicente Blvd,1,4.0
4340-002-020,1011   Hilldale Ave,1,14.0
4340-002-055,1012   Hammond St,1,1.0
4340-002-062,1012   Hammond St,1,1.0
4340-004-005,912   Hilldale Ave,1,8.0
4340-004-013,949    San Vicente Blvd,1,8.0
4340-004-018,927   San Vicente Blvd,1,9.0
4340-004-019,923   San Vicente Blvd,1,8.0
4340-004-020,915   San Vicente Blvd,1,11.0
